POLICYHOLDER_LOCATOR,QUOTE_LOCATOR,POLICY_LOCATOR,STATE,ISSUED_TIMESTAMP,Issued Flag,Main Policy Locator Flag,CREATED_TIMESTAMP,POLICY_START_TIMESTAMP,POLICY_END_TIMESTAMP,DATE_OF_BIRTH,INSURANCE_SCORE,AGENCY_ID,AGENT_ID,PRIOR_INSURANCE,PRIOR_CARRIER_NAME,PRIOR_POLICY_EXPIRATION_DATE,APPLICATION_INTIATION,POLICY_PREMIUM
016ab86e-f6c6-468c-b8a8-817942b804ab,106302758,106302588,draft,[NULL],0,0,12/19/23 16:02,[NULL],[NULL],6/10/1971,792,1456,1946,"No, I'm buying a new home",[NULL],[NULL],Independent Agent,1095
016ab86e-f6c6-468c-b8a8-817942b804ab,106302686,106302588,draft,[NULL],0,0,12/19/23 16:02,[NULL],[NULL],6/10/1971,792,1456,1946,"No, I'm buying a new home",[NULL],[NULL],Independent Agent,1493
016ab86e-f6c6-468c-b8a8-817942b804ab,106302838,106302588,discarded,[NULL],0,0,12/19/23 16:03,[NULL],[NULL],6/10/1971,792,1456,1946,"No, I'm buying a new home",[NULL],[NULL],Independent Agent,1776
016ab86e-f6c6-468c-b8a8-817942b804ab,106303168,106302588,discarded,[NULL],0,0,12/19/23 16:07,[NULL],[NULL],6/10/1971,792,1456,1946,"No, I'm buying a new home",[NULL],[NULL],Independent Agent,850
ee320c5e-b305-4570-b879-5ead1c96a2fc,106326156,106326118,draft,[NULL],0,1,12/20/23 11:18,[NULL],[NULL],9/8/1959,721,1349,1462,"Yes, I am thinking about switching carriers",Allstate,[NULL],Independent Agent,2340
ee320c5e-b305-4570-b879-5ead1c96a2fc,106326192,106326118,draft,[NULL],0,0,12/20/23 11:18,[NULL],[NULL],9/8/1959,721,1349,1462,"Yes, I am thinking about switching carriers",Allstate,[NULL],Independent Agent,1943
ee320c5e-b305-4570-b879-5ead1c96a2fc,106326208,106326118,draft,[NULL],0,0,12/20/23 11:18,[NULL],[NULL],9/8/1959,721,1349,1462,"Yes, I am thinking about switching carriers",Allstate,[NULL],Independent Agent,1435
ee320c5e-b305-4570-b879-5ead1c96a2fc,106326746,106326118,discarded,[NULL],0,0,12/20/23 11:28,[NULL],[NULL],9/8/1959,721,1349,1462,"Yes, I am thinking about switching carriers",Allstate,[NULL],Independent Agent,1029
9ea95f22-b012-4a66-8c1f-c71345b6676a,106339936,106337032,accepted,1/2/24 10:55,1,1,12/20/23 13:12,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,1272
9ea95f22-b012-4a66-8c1f-c71345b6676a,106337066,106337032,discarded,[NULL],0,0,12/20/23 13:12,1/2/24 0:00,1/2/25 0:00,11/17/1963,998,11,57,"Yes, I am thinking about switching carriers",Not Listed,[NULL],Independent Agent,542
